SKU,Product Name,Stock Status,Product URL
MGT00622-MJ,MINI GT Ford GT '64 Prototype Heritage Edition White,out_of_stock,https://downskale.com/products/mini-gt-ford-gt-64-prototype-heritage-edition-white
MGT-00687-MJ,MINI GT 1:64 Lamborghini Huracan GT3 EVO2 Presentation,out_of_stock,https://downskale.com/products/mini-gt-1-64-lamborghini-huracan-gt3-evo2-presentation
MGT-00702-MJ,MINI GT 1:64 Nissan Skyline Kenmeri Liberty Walk White,out_of_stock,https://downskale.com/products/mini-gt-1-64-nissan-skyline-kenmeri-liberty-walk-white
MGT-00709-MJ,MINI GT BMW M Hybrid V8 #25 2023 IMSA Sebring 12hrs,out_of_stock,https://downskale.com/products/mini-gt-bmw-m-hybrid-v8-25-2023-imsa-sebring-12hrs
T64S-003-94LM,Tarmac Works Schuco Porsche 911 RSR 3.8 Le Man 1994 #52,out_of_stock,https://downskale.com/products/tarmac-works-schuco-porsche-911-rsr-3-8-le-man-1994-52
T64-079-79LM41,Tarmac Works Porsche 935 K3 24h of Le Mans 1979 Winner,out_of_stock,https://downskale.com/products/tarmac-works-porsche-935-k3-24h-of-le-mans-1979-winner
KHMG131,Kaido House Datsun 510 Kaido Racing V2 - Chase Car,out_of_stock,https://downskale.com/products/kaido-house-datsun-510-kaido-racing-v2-chase-car
T64G-023-HK2,Tarmac Works Vertex Nissan Silvia S15 Hello Kitty Special Edition - Indonesia Exclusive,out_of_stock,https://downskale.com/products/tarmac-works-vertex-nissan-silvia-s15-hello-kitty-special-edition-indonesia-exclusive
MGT00886-BL,MINI GT 1:64 Lamborghini Revuelto - Giallo Yellow,in_stock,https://downskale.com/products/mini-gt-1-64-lamborghini-revuelto-giallo-yellow
MGT00714-BL,Mini GT 1:64 Nissan Silvia (S15) Top Secret D1GP - Gold,out_of_stock,https://downskale.com/products/mini-gt-1-64-nissan-silvia-s15-top-secret-d1gp-gold
MGT00887-BL,MINI GT 1:64 Lamborghini Aventador SVJ 63 Roadster - Verde Shock,out_of_stock,https://downskale.com/products/mini-gt-1-64-lamborghini-aventador-svj-63-roadster-verde-shock
